 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
  37    9   55495   5   1   2  10  100   13   30   16   35
  37   17   47439   2   0   3   5   84    8   13    0   27
  37   31   67828   5   3   2  20  142   15   25   11   30
  37   54   66514   2   2   3  10  144    9   18   22   28
  37   57   94153   2   7   3  25  153   12   29   23   38
  37   59   69171   4   1   3  20  159   13   21    7   46
  37   91   54497   5   0   2  15   67   10   16    0   39
  37   96   29120   1   0   1   0   31    3    6    0    8
  37  100   47635   2   0   1  10   76    8   35    0   30
  37  103   61402   2   2   3  15  124   13   43   17   24
  37  105   63732   3   1   2  15   78   11   22    6   31
  37  118   61390   3   0   2  10   84    6   41    0   20
  37  124   63310   2   4   3  10  152    6   32   13   17
  37  131   63282   2   0   2  10   59    4   26    0   16
  37  143   50990   4   0   2  10   80   10   33    0   30
  37  151   49145   2   1   2  10  107   11   25    4   28
  37  158   43300   2   0   3   5   56    9   21    0   19
  37  166   63303   4   2   3  15  119   14   44   13   40
  37  169   42416   2   0   1  10  111   11   25    0   29
  37  171   75256   5   1   3  15  107   11   38   10   28
