 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
   9    3   70083   3   0   2  15   64    7   27    0   23
   9    7   79875   3   2   3  15   87    8   25   16   20
   9   23   75790   2   0   3  15   70    6   29    0   23
   9   32   54322   1   0   0   0    0    0    0    0    0
   9   89   84315   2   0   2  25  108   11   33    0   26
   9   92   61673   3   0   2  15   33    8    5    0   20
   9  101  101553   5   0   2  25   73   13    4    0   30
   9  134   57450   1   0   2   5   20    4   13    0    1
   9  139   90784   8   1   2  25  133   15   42    9   43
   9  144   87027   3   3   2  20  140    7   25   20   25
   9  154   66556   3   1   3  15   61    9    0    7   30
   9  165   62033   3   1   3  10  106    8   24   13   23
   9  177   73696   3   2   2  15   68    8   13   10   32
   9  189   69853   3   0   1  10   45    9    3    0   14
   9  193   84443   2   6   2  20  127   14   38   28   41
   9  224   86863   2   3   1  15   84    8   24   18   21
   9  231  113172   6   1   3  25   94   14   36    5   34
   9  237   67457   2   0   0   0    0    0    0    0    0
   9  257   58903   2   0   4  10   71    6   24    0   21
   9  262   87424   2   2   1  20   79   14   22   12   24
  22    3   56647   3   0   3  10   63    8   12    0   24
  22   11   62639   2   1   1  15  124    6   34   14   25
  22   23   68133   2   1   3   5   47    5    3    5   20
  22   29   81604   5   0   4  15   95   11   36    0   30
  22   41   61243   1   0   0   0    0    0    0    0    0
  22   51   61948   4   2   5  15  178   12   50   14   35
  22   68   78662   3   0   3  15  100    8   40    0   16
  22   83   64257   2   0   3  10   20    2    0    0   13
  22   89   47246   1   0   2   5   11    2    5    0    4
  22  109   49066   2   0   1  10   77    7   24    0   12
  22  128   35820   1   0   0   0    0    0    0    0    0
  22  152   72472   1   0   2  10   40    4    7    0   15
  22  159   43488   2   0   2   5   57    6   16    0   22
  22  185   65435   2   2   1  15  121    8   27   12   23
  22  203   80591   2   3   1  15  114    7   14   24   17
  22  209   85857   3   0   0   0    0    0    0    0    0
  22  210   68137   3   0   2  15  101    9   20    0   25
  22  230   52789   3   1   2  10   99    8   32    8   28
  22  242   66119   2   2   2  10  135    6   26    3   29
  22  254   67247   2   0   2   5   38    3   16    0    4
  37    9   55495   5   1   2  10  100   13   30   16   35
  37   17   47439   2   0   3   5   84    8   13    0   27
  37   31   67828   5   3   2  20  142   15   25   11   30
  37   54   66514   2   2   3  10  144    9   18   22   28
  37   57   94153   2   7   3  25  153   12   29   23   38
  37   59   69171   4   1   3  20  159   13   21    7   46
  37   91   54497   5   0   2  15   67   10   16    0   39
  37   96   29120   1   0   1   0   31    3    6    0    8
  37  100   47635   2   0   1  10   76    8   35    0   30
  37  103   61402   2   2   3  15  124   13   43   17   24
  37  105   63732   3   1   2  15   78   11   22    6   31
  37  118   61390   3   0   2  10   84    6   41    0   20
  37  124   63310   2   4   3  10  152    6   32   13   17
  37  131   63282   2   0   2  10   59    4   26    0   16
  37  143   50990   4   0   2  10   80   10   33    0   30
  37  151   49145   2   1   2  10  107   11   25    4   28
  37  158   43300   2   0   3   5   56    9   21    0   19
  37  166   63303   4   2   3  15  119   14   44   13   40
  37  169   42416   2   0   1  10  111   11   25    0   29
  37  171   75256   5   1   3  15  107   11   38   10   28
  41    1   56110   3   1   1  10  105   13   37    9   23
  41   14   65181   2   3   2  20  141   11   19   14   38
  41   25   46778   1   0   0   0    0    0    0    0    0
  41   40   35148   2   0   0   0    0    0    0    0    0
  41   41   29688   2   0   0   0    0    0    0    0    0
  41   49   58514   4   0   1  15  112   11   34    0   32
  41   61   59273   5   2   2  15  134   11   35    9   33
  41   72   31977   2   0   3  10   91   11   35    0   27
  41   74   70224   2   0   0   0    0    0    0    0    0
  41   77   24131   1   0   1   0   60    7    8    0   19
  41   79   42874   2   0   0   0    0    0    0    0    0
  41  101   55660   2   1   2  10  138    7   26    7   18
  41  107   52652   2   2   2  10  108    7   30   23   33
  41  115   39427   1   0   0   0    0    0    0    0    0
  41  121   46086   4   0   3  15  127   14   30    0   38
  41  125   42592   2   2   1  10  110   10   40   11   25
  41  126   65678   3   0   0   0    0    0    0    0    0
  41  136   56077   1   0   2   5   15    6    1    0    7
  41  140   71667   5   1   3  20   85   14   22   12   28
  41  143   52503   1   0   2   5   63    4   18    0   17
  54   40   41247   1   0   0   0    0    0    0    0    0
  54   46   55210   5   0   3  10   91    8   37    0   25
  54   53   52952   2   0   2   0   11    0    6    0    5
  54   95   46684   2   0   1   0   36    1   15    0    8
  54  102   47140   2   1   2   5   25    2    0    7    9
  54  106   48414   2   2   2   5   73    5   32   18   13
  54  170   46877   1   0   3   0    0    0    0    0    0
  54  190   47612   1   0   1   5   12    0    0    0    9
  54  191   53602   1   0   0   0    0    0    0    0    0
  54  207   48755   1   0   1  10   18    5    0    0   10
  54  250   50459   2   0   1   5   29    4    3    0   11
  54  276   45065   1   0   2   5   43    2   17    0   14
  54  289   49433   4   0   2  10   69    9   32    0   17
  54  300   49036   1   0   1   0    0    0    0    0    0
  54  397   38888   1   0   2   0   19    1   11    0    0
  54  426   54465   2   1   2   5   16    4    0    2    9
  54  461   45986   1   0   1   0    1    1    0    0    0
  54  466   50643   3   1   1   5   45    5    8    9    7
  54  477   48747   2   0   0   0    0    0    0    0    0
  54  568   45531   2   0   0   0    0    0    0    0    0
  34   11   72108   5   2   1  15   96   11   41   13   29
  34   12   84844   4   5   3  20  123   12   32   23   43
  34   25   51294   2   1   4  10  162    7   32   11   30
  34   27   53413   4   0   1  15  121   11   43    0   30
  34   30   65471   2   1   1   5  103    3   23   11   13
  34   40   52828   2   2   3   5  118    7   37   20   15
  34   46   77449   2   1   2  15   87   10   42   12   13
  34   50   56517   2   0   2  10   51    7   19    0   21
  34   53   10000   2   0   2   0   78    3   18    0   18
  34   56   64602   2   1   2  15  109   10   35   13   33
  34   61   38344   1   0   1   0   29    6    0    0   17
  34   73   56203   3   1   2  10   75   11   32    3   29
  34   96   30669   1   0   1   5   62    8   35    0   12
  34   98   41872   2   0   0   0    0    0    0    0    0
  34  100   79605   2   2   4  10  119    8   37   11   25
  34  106   50243   3   1   2  10  111    9   10   10   27
  34  109   40197   3   0   0   0    0    0    0    0    0
  34  111   52074   3   0   3   5   37    7   16    0   14
  34  125   46425   5   1   2  10  117   12   39   15   40
  34  127   49462   2   1   0   0    0    0    0    0    0
   5   16   49746   1   0   1  10  112    7   19    0   18
   5   19   48453   2   2   0   0    0    0    0    0    0
   5   21   71843   2   1   2  15   67    9   10   17   22
   5   24   53436   4   0   2  15   98   12   40    0   39
   5   25   83879   6   0   2  20   77   12   20    0   37
   5   31   66347   3   0   1  15   94   11   25    0   33
   5   42   38022   1   0   1   0   71    2   26    0   11
   5   46   40361   1   0   2   0   42    5   14    0   11
   5   57   34833   1   0   1   5   81    8   40    0   18
   5   75   84252   4   0   2  15   50    8   12    0   28
   5   77   67718   5   1   1  15   96   14   32   12   37
   5   80   21652   1   0   0   0    0    0    0    0    0
   5   83   52054   3   2   2  10  141   10   21   13   29
   5   86   46569   4   0   2   5   70    8   28    0   25
   5   90   68929   4   5   5  20  180   13   37   18   36
   5   91   59041   2   1   1  10  122    6   33    9   26
   5   92   69979   5   4   2  25  136   20   42   17   50
   5  101   64073   3   4   1  15  120   11   20   14   35
   5  103   55728   3   3   4  15  166   13   54   13   35
   5  106   79527   8   0   3  20  158   12   30    0   29
  32   22   84056  10   1   1  25  120   12   24    8   35
  32   26   68194   5   1   2  20  128   15   39   12   39
  32   32   53506   4   0   2  10   72   13   25    0   29
  32   43   72116   3   2   3  15  112   13   42   16   34
  32   62   69008   2   0   1  10   41    6   18    0    8
  32   67   60710   3   1   3  10  120   11   35   17   24
  32   69   62293   4   0   2  10  127   10   54    0   29
  32   70   62498   3   2   3  10  109    9   30   20   27
  32   72   55025   2   0   2   5   86    7   14    0   19
  32   73   63167   2   1   0   0    0    0    0    0    0
  32   79   69552   2   1   4  10   69   11   13   10   19
  32   88   70832   3   1   1  15  121    7   30   12   25
  32   92   48447   1   0   0   0    0    0    0    0    0
  32   93   70143   3   3   1  10  124    5   17   10   25
  32   94   57644   1   0   2  10   53    6   22    0   17
  32   95   68953   4   0   3  20   78   16   19    0   32
  32  105   55105   2   0   2  15   74    9   31    0   18
  32  113   54527   2   0   2   5   26    5    5    0   11
  32  132   65557   3   0   1  10   35    5   14    0   13
  32  135   38985   1   0   1   5   52    3   23    0   17
  64   14   56542   3   0   4   0   26    0   15    0    9
  64   97   61717   2   0   2  10   46    2   18    0   14
  64  145   67853   2   1   2  10   73    5   24    8   12
  64  180   76664   2   3   4  20  116   10   37   14   22
  64  279   72603   3   0   2  10   57    2   24    0   13
  64  328   58347   3   0   1  10   41    6   17    0   10
  64  367   63749   1   0   3   5    5    1    4    0    0
  64  432   54275   3   2   2   5   76    5   20   12   13
  64  435   59159   1   0   1   5    6    1    0    0    4
  64  449   65914   3   0   1  10  104    5   35    0   17
  64  487   62864   2   0   3  10   39    0   13    0   16
  64  509   61013   2   0   1   5    4    0    0    0    3
  64  549   57874   3   0   2   5   59    7   17    0   11
  64  552   57280   1   0   0   0    0    0    0    0    0
  64  658   66828   2   0   3  10   23    3   10    0    8
  64  737   64900   2   0   2   5   31    0   12    0   14
  64  805   68563   2   0   2  10   19    1    3    0    9
  64  838   60409   1   0   1   0    0    0    0    0    0
  64  877   57391   2   0   3   5    6    0    0    0    5
  64  883   60806   1   0   0   0    0    0    0    0    0
   3   11   54406   2   2   1  10  122    7   32   16   23
   3   12   74093   5   0   2  20  117   14   44    0   34
   3   25   67883   2   0   2  10   54    8   20    0   20
   3   27   76004   2   0   2  10   41    4   16    0   18
   3   30   79412   2   6   3  20  150    8   27   22   32
   3   40   69206   4   0   2  15   76   11   15    0   39
   3   46   67419   3   2   1  20  119   10   30    8   32
   3   50   72190   1   0   0   0    0    0    0    0    0
   3   53   48943   1   0   0   0    0    0    0    0    0
   3   56   53181   2   0   2   5   91    5   22    0   27
   3   61   59000   2   0   2  10   22    7    2    0    9
   3   73   84098   2   2   2  15   94   11   33    9   28
   3   96   55277   4   0   1  15  116    8   48    0   21
   3   98   43809   1   0   3   0   27    4    2    0   16
   3  100   59976   3   2   2  10  109    8   39    9   31
   3  106   70145   6   2   2  20  140   17   48   24   42
   3  109   76008   6   0   2  10   75    9   25    0   30
   3  111   69744   6   1   2  20  143   11   36   15   41
   3  125   72104   4   1   3  20  150   13   41   10   30
   3  127   62218   2   0   0   0    0    0    0    0    0
