 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
   2   29   39956   1   0   1   5   41    6    4    0   18
   2   39   36117   2   0   3   5   45    8   16    0   16
   2  107   64374   4   0   0   0    0    0    0    0    0
   6   74   69820   7   2   3  25  156   13   35   11   35
   8  186   78663   2   2   1  20  123   10   17   10   35
   8  351  102132   6   0   3  25  118   12   45    0   34
   9  170   86163  12   0   4  25  165   14   40    0   36
   9  277   73115   2   0   0   0    0    0    0    0    0
  10  101   83651   4   2   4  20  146   12   28   17   34
  10  171   71988   2   3   2  15   90    9   39   10   23
  10  232   48830   1   0   0   0    0    0    0    0    0
  10  266   70930   4   0   1  10   81    9   32    0   23
  11  175   80692   2   3   3  20  153   13   32   17   26
  13  119   63736   3   1   3  15  153   10   35   11   22
  14   48   77816   5   0   3  15   86   10   29    0   26
  14  331   75451   2   0   2  10   62    5   44    0   12
  14  381  105017   4   0   3  20   48    8   14    0   23
  14  422   84036   7   0   4  15   65   14   22    0   23
  15  125   62673   1   0   2  10   40    7   13    0    7
  16   38   34873   1   0   1   5   60    7   20    0   19
  18  124   74027   2   2   2  15   89    7   23   17   27
  18  149   69080   2   0   2   5   31    5    0    0    9
  18  153   84802   3   1   4  15   70    8    4   13   21
  18  169   74271   4   0   1  10   64    6   28    0   15
  19  115   91211   6   1   2  15  115   11   39   18   23
  19  130   36604   1   0   2   0   34    3   14    0    7
  20   18   60252   6   0   2  15  138   14   57    0   39
  20   24   49670   2   3   2  10  110    8   28   21   27
  20  168   56020   6   0   4  10  134   13   39    0   36
  22  195   74241   2   1   2  15   74   10   21   12   24
  28    2   67649   3   0   2  15   88    9   37    0   23
  28   86   50045   2   0   0   0    0    0    0    0    0
  28   98   40913   1   0   2   0   43    4    8    0   14
  29   69   79274   3   1   2  20  103   14   29   10   31
  29   85   67872   2   2   3  10  146    9   48   13   20
  30   47   72442   3   0   1  15   93    6   28    0   23
  31  137  100793   9   0   4  25  138   18   52    0   40
  32   97   81555   7   0   3  15  144   12   52    0   26
  33  130   41564   2   1   0   0    0    0    0    0    0
  35   19   58157   2   0   1  10   65    8   15    0   20
  36    7   46171   1   0   1   0   13    3    3    0    7
  36  211   58248   5   0   4  10   49    8    9    0   29
  38   86   56085   4   1   0   0    0    0    0    0    0
  41  126   65678   3   0   0   0    0    0    0    0    0
  41  137   64361   2   3   1  15  125   12   28   18   34
  41  148   34776   1   0   1   5   71    9   31    0   20
  42   46   59129   3   0   1  15   66   11   15    0   26
  43   18   76370   3   0   1  20   84    9   31    0   32
  44   12   67679   2   0   3  10   55    7   19    0   13
  44  186   60566   4   0   4  10   90    8   51    0   25
  45   16   53985   2   1   3  10   73    8   24    6   18
  45  128   57266   4   0   3  15  134   12   40    0   30
  45  291   69436   2   2   3  15  146   11   37   10   25
  45  347   55375   3   1   3  10   50    6    8    7   14
  45  544   62133   3   0   4   5   46    6   14    0   17
  45  557   59070   5   0   0   0    0    0    0    0    0
  46   36   54671   3   4   4  10  103   12   35   14   32
