 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
  11  191   58727   2   0   1   5   48    3   18    0    9
  25  167   65760   2   1   2  10   50    3   13   16   14
  29   28   74389   4   1   3  20   90   14   16   11   31
  30  106   55217   1   0   3  10   99    5   45    0   24
  41   35   49495   1   0   4   5   45    7   15    0   13
  45  371   53113   4   0   3  10   82    8   31    0   20
  50  204   52607   2   0   1   5   16    3    0    0    8
  52  245   72694   2   1   2  15   33    4    0    6   23
  56  114   96696   2   0   1  15   31    3   20    0    4
  60  583   39393   1   0   1   5   14    0    4    0    8
  62  642   68765   2   0   2  15   24    5    3    0    8
  63 1184   51649   1   0   2   5   13    0    9    0    0
  64  588   64409   2   0   2   0    9    3    6    0    0
  65  290   73663   2   0   2  10   35    5   14    0   11
  67  373   88328   3   0   3  10   14    4    7    0    1
  67  720   83009   2   0   1  10    3    3    0    0    0
  68  241   83596   2   2   3  15   47    4    2   13   17
  69  799   67114   1   0   3  10   50    3   24    0    5
  73  183   75762   1   0   2   5   16    0   13    0    0
  74  248   89574   3   1   3  15   68    8   27    9   14
