 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
   1   29   46711   2   0   2  10   99    8   31    0   21
   2   61   59666   3   1   1  15  123   10   33   11   29
   2   88   62064   2   0   2   5   49    4   26    0   13
   3   21   58816   2   1   3   5   45    7   15   10   13
   3   38   79621   6   0   3  20   98   15   41    0   38
   3   86   83310   2   2   3  20   84   13   26   10   27
   5   69   53727   2   0   3   5   28    4   10    0    8
   7   29   75773   2   2   1  15  120    7   18   15   21
   7   75   72686   3   3   2  15  139    7   32   15   24
   9  196   87429   5   0   4  20  123    9   60    0   24
   9  253   94763   2   1   3  20  103    8   31    8   19
  10   84   77007   1   0   1  15   53    1   38    0    9
  11   61   59845   3   0   0   0    0    0    0    0    0
  11  107   53017   3   0   2  10   29    9    0    0   16
  11  221   64171   3   1   1  10   46    5    9   14   17
  12   47   39180   2   0   0   0    0    0    0    0    0
  12  128   53834   3   1   1  15  100   11   35   10   30
  13    5   72583   2   1   3   5   37    1    8    4   11
  14  336   84508   2   0   2  15   42    4   11    0   14
  14  420   95761   3   1   2  20  137    6   33    2   29
  15   36   51293   1   0   3  10   27    7    0    0   15
  15  107   84388   5   2   2  25  131   15   30   17   45
  15  152   62514   1   0   1  10   18    5    4    0    9
  15  187   43156   1   0   0   0    0    0    0    0    0
  15  226   61194   3   0   3  10   57    8   23    0   21
  16  192   74203   5   1   1  15   53    9    0   11   26
  16  201   50003   2   1   2  10  127    7   33    3   29
  18   53   79781   1   0   1  10   10    1    7    0    0
  18  280   71781   3   2   4  10  118    8   31   10   21
  19   29   61924   2   0   2  10   39    6    6    0   17
  19  115   91211   6   1   2  15  115   11   39   18   23
  19  166   73181   2   1   1  15   94    9   30   11   18
  20   45   39775   2   1   0   0    0    0    0    0    0
  20  109   61985   5   0   2  15  134   12   43    0   30
  22   41   61243   1   0   0   0    0    0    0    0    0
  23   80   78062   3   2   3  25  107   12   48   15   23
  23  127   62881   2   0   2  10   55    3   27    0   10
  25   72   96693  10   0   4  25  168   17   41    0   51
  28    8   58393   2   0   1  10   82    9   31    0   25
  28   43   59258   3   5   3  15  137   17   39   24   43
  29   14   66565   3   1   3  15   89   13   23   10   29
  29   63   55297   2   3   1  10  113   12   11   19   27
  29  147   92727   3   4   4  25  162   15   24   30   45
  31   19   71350   3   3   3  20  157   11   43   19   33
  31   23   73050   3   1   1  15  121    9   38   12   31
  31  137  100793   9   0   4  25  138   18   52    0   40
  33   72   79082   2   4   2  15  140    7   22   10   19
  33  112   47783   5   0   2  10   75   11   23    0   32
  36  135   64002   2   0   2  10   48    6   16    0   15
  37   87   57650   2   2   2  15  135    8   31    9   20
  38   78   57403   3   1   2  15  102   11   49    9   31
  40   15   40928   1   0   0   0    0    0    0    0    0
  41   21   65126   3   0   2  10   78    7   15    0   21
  45   45   58078   4   0   2   5   42    7   13    0   17
  45  218   57140   4   1   1  15  113    9   34    7   34
  46   50   42146   4   0   1  10   92   10   40    0   23
  46   54   61736   4   2   3  10  110    9   32   14   29
  46  108   51951   2   2   3  10   70   11   14   13   24
  46  117   56866   2   0   3   5   53    3   39    0   10
  47   86   59092   1   0   2   5    7    1    3    0    3
  47   96   64383   7   1   4  15  118   14   26   10   38
  47  166   72473   3   0   0   0    0    0    0    0    0
  47  223   64429   3   0   0   0    0    0    0    0    0
  47  350   62801   1   0   1  10   21    7   12    0    2
  47  423   59293   2   0   1  10   37    6    8    0   13
  48  146   50605   3   0   2   5   34    5   16    0   11
  48  687   62144   4   1   3  10   98   10   42    4   20
  49  402   60952   4   0   2   5   43    5   12    0   17
  49  551   57033   2   0   1   5   47    2   20    0    6
  49  776   60480   2   0   2   5   22    1    4    0   10
  49  802   60788   3   1   5  10  104    8   16    9   17
  49  858   56078   3   2   3  10   66   10    2   11   26
  50   53   53052   1   0   1   0    1    1    0    0    0
  50  183   53580   3   4   4  10  112   10   20   25   29
  50  233   51530   2   0   2   0   19    3   15    0    0
  50  515   55521   2   4   1  10  120    6   31   10   18
