 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
   2  109   53538   2   0   3   5   43    3    3    0   21
   3   51   80690   2   4   1  15  125    7   36   11   20
   8  164   72078   3   0   2  15  119    6   30    0   15
   9  273   72024   2   1   2  10   72    4   10    9   11
  11  191   58727   2   0   1   5   48    3   18    0    9
  12  124   35535   2   0   1   0   14    3    3    0    7
  13   49   63594   2   3   2  15  141    8   26   13   17
  13  109   67944   2   3   2  15  123    8   31   18   19
  13  184   43155   1   0   2   5   45    5   17    0    7
  14  239   71425   2   1   2  15   96    9   29   14   18
  14  275   78052   3   0   0   0    0    0    0    0    0
  15   39   68527   3   0   2  15   48    7   23    0   18
  16   51   70631   4   0   3  20   78   10   24    0   28
  16  103   57809   4   1   0   0    0    0    0    0    0
  17  155   98884   6   0   1  20  106   11   30    0   25
  17  207   74823   4   2   3  15   76    8   10   13   29
  18  248   56306   2   0   2   5   44    5    8    0   16
  19   30   82523   3   1   3  20  133   10   36   21   24
  19  117   58202   2   0   0   0    0    0    0    0    0
  22  147   43199   1   0   1  10   96    6   21    0   21
  24   29   59259   1   0   0   0    0    0    0    0    0
  24   64   62728   1   0   0   0    0    0    0    0    0
  24   67   44195   1   0   3   5   55    5   26    0    4
  24  140   87617   2   0   2  20   74    9   35    0   28
  25  167   65760   2   1   2  10   50    3   13   16   14
  27   99   56840   3   1   2  15  122   14   23    9   32
  28    4   73683   7   0   3  20  134   16   30    0   44
  28    5   65874   3   1   2  15  114    9   33   16   36
  28   86   50045   2   0   0   0    0    0    0    0    0
  29   28   74389   4   1   3  20   90   14   16   11   31
  30    8   53569   3   0   1  10   67    7    9    0   22
  30   22   76836   5   1   3  15  105    8   40   12   32
  30  106   55217   1   0   3  10   99    5   45    0   24
  31    9   92957   3   0   1  25   92   11   17    0   32
  33   49   68955   6   0   1  15  124   10   45    0   30
  36   12   55550   3   1   0   0    0    0    0    0    0
  38    6   55414   2   1   2  10   65    9   24   10   20
  38   55   65082   2   1   3  15  118    9   49   17   22
  39   50   62519   2   0   2   5   75    4   37    0   15
  41   35   49495   1   0   4   5   45    7   15    0   13
  42   10   53909   2   1   2  10   67    8   23   10   25
  42   71   42282   2   1   1   5   93   11   10   10   20
  42  101   60509   3   0   0   0    0    0    0    0    0
  42  150   61726   2   2   3  10  132    8   29    9   24
  42  162   90368   2   5   2  25  129   14   40   18   39
  43   53   42371   2   0   1  10   73    9   24    0   21
  44  168   52772   2   0   0   0    0    0    0    0    0
  44  273   56355   3   0   1  10  102    7   34    0   19
  45  347   55375   3   1   3  10   50    6    8    7   14
  45  371   53113   4   0   3  10   82    8   31    0   20
  45  520   62191   6   0   4  20  114   16   56    0   41
  46  193   53647   2   0   0   0    0    0    0    0    0
  47  200   59811   3   3   1   5   47    6   10   14   16
  47  420   66518   3   0   2  10   48    7   11    0   20
  47  487   66040   2   4   1  15   80   13   21   14   26
  47  681   67454   3   2   1  10  102   10   30   10   26
  48  608   60284   2   1   0   0    0    0    0    0    0
  49  339   63960   4   0   2  10   47    7   27    0    8
  49  708   61264   1   0   0   0    0    0    0    0    0
  50  169   52739   3   1   2   5   85    7   33    8   18
  50  204   52607   2   0   1   5   16    3    0    0    8
  50  275   56905   6   2   2  15  109   13   31   11   45
  51   37   95661   2   4   3  20  102    9   23   13   27
  51  145   99469   2   0   0   0    0    0    0    0    0
  51  161   98959   2   2   1  15  118    3   28   16   16
  51  243   89240   7   0   3  10   40    5   21    0   10
  51  352   86618   3   0   3  15   34    6   10    0   15
  51  414   93936   3   0   4  20   39    7    5    0   17
  51  422   96710   4   0   3  20   81    4   35    0   15
