 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
  51  234   97796   2   0   1  20   35    1   16    0   13
  51  248   96910   3   0   0   0    0    0    0    0    0
  51  356   99906   2   0   3  15   40    2   19    0    5
  52  120   66949   2   0   1  10   24    1    9    0    5
  52  357   63712   1   0   0   0    0    0    0    0    0
  52  595   66517   2   0   2   5   20    4    8    0    2
  52  606   68090   2   0   2  15   54    4   16    0   15
  52  629   64222   2   0   1  10   15    3    0    0    6
  53  604   57565   2   0   3  10   23    6    0    0   14
  54   20   46661   1   0   4   0    5    1    3    0    0
  54  107   47717   6   0   1   5   55    9   13    0   29
  54  272   51364   3   0   3   5   15    3    6    0    6
  54  430   42528   1   0   0   0    0    0    0    0    0
  55    5   37789   2   0   2   0   61    2   34    0    6
  55  182   44436   1   0   2   5   32    3   19    0    8
  55  238   55648   3   1   3   0   25    3    4    7    9
  55  255   40938   1   0   0   0    0    0    0    0    0
  55  332   46638   3   2   1  10  117    6   29    5   13
  55  495   46003   2   0   1  10   39    7   12    0   17
  56   13   94101   1   0   2  15   27    2   13    0    0
  56  112   97999   4   0   2  20   43    7   18    0   15
  57  138   77935   3   0   3  10   46    3   20    0   14
  57  151   88341   2   1   2  15   53    4   18   16   13
  57  199   84229   3   0   0   0    0    0    0    0    0
  57  732   89660   3   1   4  15   72    6   31    6   17
  57  749   87978   3   1   2  20   87    6   26   11   23
  58   86   63113   3   2   3   5   68    7   24   14   14
  58  116   55111   1   0   0   0    0    0    0    0    0
  58  119   64398   3   0   0   0    0    0    0    0    0
  58  131   57005   1   0   0   0    0    0    0    0    0
  58  299   52962   2   0   2   5   20    3    0    0   11
  58  562   58054   2   1   0   0    0    0    0    0    0
  58  925   52788   1   0   2   5   12    0   10    0    1
  59  374   40065   2   0   3   5    4    0    0    0    3
  59  579   36380   2   0   1   5   49    5   19    0    8
  59  704   37595   2   0   3   5   25    5    0    0   12
  59  710   39751   1   0   2   0   11    0   10    0    1
  59  821   34017   3   0   1   5   54    5    5    0   21
  60  142   46204   1   0   1   5   10    4    0    0    5
  60  264   43659   2   0   0   0    0    0    0    0    0
  60  531   44497   1   0   3   0   12    1    0    0    6
  60  645   43261   1   0   0   0    0    0    0    0    0
  60  646   43314   2   0   2   0   17    1   12    0    4
  60  694   49219   2   0   2   0   29    3   14    0    2
  60  743   33770   1   0   2   5   16    5    2    0    9
  61  139  101139   4   2   3  25   94    8   37   11   31
  61  239  105948   2   2   2  20   69    3   25   20   18
  61  364  102277   5   5   3  25  119   14   35   15   36
  62  157   62292   1   0   2  10   15    3    0    0    7
  62  346   76541   3   2   3  15   96    8   54   13   18
  62  415   76770   2   1   2   5   49    1   24    0    6
  62  652   67720   2   0   3  10   23    5    2    0   14
  62  772   66553   2   0   1   5    0    0    0    0    0
  62  775   64513   2   1   4  15   99    6   38    6   18
  62  838   71513   2   0   1  10    9    3    0    0    6
  63   24   61848   3   1   0   0    0    0    0    0    0
  63  219   59634   2   1   2   5   48    1   24   12    8
  63  691   59588   2   0   0   0    0    0    0    0    0
  63  713   48715   1   0   1   5   27    0   10    0    6
  63 1060   60583   2   1   1  10   55    4   13   10   15
  63 1101   58145   2   0   1   5   10    3    6    0    0
  63 1173   50645   2   0   1  10   22    7    3    0   11
  64   32   61671   2   0   2  10   16    3    0    0    6
  64   68   67379   2   0   2   5   15    1    7    0    5
  64   79   59350   2   0   3   5    5    3    0    0    0
  64  344   66884   1   0   0   0    0    0    0    0    0
  64  418   66594   3   2   2  15   81    7   22    6   18
  64  428   63550   2   0   2  10   24    5    6    0    5
  64  585   63885   2   2   2  10  105    4   34    7   20
  64  719   62886   2   3   0   0    0    0    0    0    0
  65  202   71672   2   0   1   5    8    0    0    0    6
  65  270   73749   5   0   2   5   27    3    5    0    9
  65  319   77691   3   0   3  10   27    6    0    0   12
  65  374   75918   2   2   3  10   56    1   23   10   12
  65  396   64525   2   0   2  10   20    4    6    0    3
  65  684   68604   2   0   1  10   12    3    1    0    7
  66   59   81065   2   0   2  15   25    3    0    0   13
  66  139   86777   2   1   1  10   18    4    0   10    3
  66  418   93205   1   0   2  10    4    0    0    0    4
  66  554  102291   2   5   3  25  119   13   30   17   27
  66  640   96942   4   0   3  20   50    6   24    0   18
  67   52   86024   2   1   3  15   45    3   18   13    8
  67   67   85830   3   2   2  20   63    9   18   14   19
  67  585   84287   2   0   2  10   21    1    2    0   15
  67  623   84853   3   0   3  10   21    2    0    0   14
  67  755   87767   3   1   2  20   74    6   34   13   21
  68  101   86241   2   0   3  15   26    7   13    0    4
  68  120   78377   5   0   2  15   89    6   25    0   26
  68  179   78801   5   0   1  15   32    9    7    0   16
  68  269   73313   2   1   4  15   61    5   22    7   18
  68  280   83074   2   0   3  15   34    3    7    0    8
  68  538   84143   3   0   3  10   22    3    4    0   11
  68  690   79909   2   0   3  15   34    3    7    0    8
  68  709   82344   4   0   3  15   37    7   10    0   15
  68  726   72100   2   0   2  10   12    1    8    0    3
  69   44   69143   1   0   3  10   24    0   13    0    2
  69  163   67874   1   0   1  10   51    2   32    0    9
  69  282   76229   4   2   3  15  152    4   33    7   19
  69  524   71545   4   0   1  20   95   11   38    0   27
  69  635   75359   2   1   2  10   26    0   12    7    4
  69  666   69549   2   1   2  10   42    5   10    5   22
  69  677   69293   2   0   1   5    5    1    3    0    0
  69  832   78880   4   0   3  15   60    4   15    0   22
  69  854   76761   2   2   2  15  112    7   22   11   26
  70  497   77444   2   0   2  10    0    0    0    0    0
  70  589   79231   4   0   2  20   68    8   17    0   22
  70  644   92311   2   1   2  20   40    7    5   10   10
  70  727   81371   3   0   3  20   85   10   29    0   20
  71  600   82629   5   1   3  15   75   10   12   17   16
  72  394   84763   3   2   3  15   64    5   41    2   14
  72  580   81001   2   4   3  15   74    7   23   17   20
  72  628   73807   2   0   1   5   12    0    5    0    2
  73    4   76505   2   0   2  10   43    4   20    0    5
  73   94   83083   4   3   3  20  150    9   28   17   22
  73  171   82747   2   0   1  20   52    7   13    0   22
  73  705   79933   1   0   2  10    1    1    0    0    0
  74   37   89647   6   1   3  15   42    6    6    7   20
  74  420   80910   4   1   3  15   62    7   18    6   29
  74  499   84472   6   2   3  20  121   12   31   12   25
  74  584   86891   2   0   1  15   57    6    4    0   12
  75    3   90593   2   4   2  20   92    7   23   14   19
  75  167   79936   3   0   1  10   42    5    9    0    7
  75  537   78520   2   0   2  15   23    3    1    0   10
