 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
  51  248   96910   3   0   0   0    0    0    0    0    0
  52  120   66949   2   0   1  10   24    1    9    0    5
  54  107   47717   6   0   1   5   55    9   13    0   29
  54  272   51364   3   0   3   5   15    3    6    0    6
  55  182   44436   1   0   2   5   32    3   19    0    8
  55  238   55648   3   1   3   0   25    3    4    7    9
  55  255   40938   1   0   0   0    0    0    0    0    0
  56   13   94101   1   0   2  15   27    2   13    0    0
  57  199   84229   3   0   0   0    0    0    0    0    0
  57  732   89660   3   1   4  15   72    6   31    6   17
  58   86   63113   3   2   3   5   68    7   24   14   14
  58  116   55111   1   0   0   0    0    0    0    0    0
  58  119   64398   3   0   0   0    0    0    0    0    0
  58  299   52962   2   0   2   5   20    3    0    0   11
  58  925   52788   1   0   2   5   12    0   10    0    1
  59  704   37595   2   0   3   5   25    5    0    0   12
  59  821   34017   3   0   1   5   54    5    5    0   21
  60  142   46204   1   0   1   5   10    4    0    0    5
  60  645   43261   1   0   0   0    0    0    0    0    0
  60  694   49219   2   0   2   0   29    3   14    0    2
  60  743   33770   1   0   2   5   16    5    2    0    9
  62  157   62292   1   0   2  10   15    3    0    0    7
  62  415   76770   2   1   2   5   49    1   24    0    6
  62  838   71513   2   0   1  10    9    3    0    0    6
  63 1101   58145   2   0   1   5   10    3    6    0    0
  64   32   61671   2   0   2  10   16    3    0    0    6
  64   68   67379   2   0   2   5   15    1    7    0    5
  64  418   66594   3   2   2  15   81    7   22    6   18
  64  428   63550   2   0   2  10   24    5    6    0    5
  64  719   62886   2   3   0   0    0    0    0    0    0
  65  270   73749   5   0   2   5   27    3    5    0    9
  65  319   77691   3   0   3  10   27    6    0    0   12
  65  374   75918   2   2   3  10   56    1   23   10   12
  65  396   64525   2   0   2  10   20    4    6    0    3
  65  684   68604   2   0   1  10   12    3    1    0    7
  66  139   86777   2   1   1  10   18    4    0   10    3
  66  554  102291   2   5   3  25  119   13   30   17   27
  66  640   96942   4   0   3  20   50    6   24    0   18
  67  585   84287   2   0   2  10   21    1    2    0   15
  67  623   84853   3   0   3  10   21    2    0    0   14
  68  269   73313   2   1   4  15   61    5   22    7   18
  68  726   72100   2   0   2  10   12    1    8    0    3
  69  163   67874   1   0   1  10   51    2   32    0    9
  69  524   71545   4   0   1  20   95   11   38    0   27
  69  635   75359   2   1   2  10   26    0   12    7    4
  69  677   69293   2   0   1   5    5    1    3    0    0
  69  854   76761   2   2   2  15  112    7   22   11   26
  70  497   77444   2   0   2  10    0    0    0    0    0
  70  589   79231   4   0   2  20   68    8   17    0   22
  70  644   92311   2   1   2  20   40    7    5   10   10
  72  394   84763   3   2   3  15   64    5   41    2   14
  72  580   81001   2   4   3  15   74    7   23   17   20
  73    4   76505   2   0   2  10   43    4   20    0    5
  74  420   80910   4   1   3  15   62    7   18    6   29
