 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
   5   16   49746   1   0   1  10  112    7   19    0   18
   5   19   48453   2   2   0   0    0    0    0    0    0
   5   21   71843   2   1   2  15   67    9   10   17   22
   5   24   53436   4   0   2  15   98   12   40    0   39
   5   25   83879   6   0   2  20   77   12   20    0   37
   5   31   66347   3   0   1  15   94   11   25    0   33
   5   42   38022   1   0   1   0   71    2   26    0   11
   5   46   40361   1   0   2   0   42    5   14    0   11
   5   57   34833   1   0   1   5   81    8   40    0   18
   5   75   84252   4   0   2  15   50    8   12    0   28
   5   77   67718   5   1   1  15   96   14   32   12   37
   5   80   21652   1   0   0   0    0    0    0    0    0
   5   83   52054   3   2   2  10  141   10   21   13   29
   5   86   46569   4   0   2   5   70    8   28    0   25
   5   90   68929   4   5   5  20  180   13   37   18   36
   5   91   59041   2   1   1  10  122    6   33    9   26
   5   92   69979   5   4   2  25  136   20   42   17   50
   5  101   64073   3   4   1  15  120   11   20   14   35
   5  103   55728   3   3   4  15  166   13   54   13   35
   5  106   79527   8   0   3  20  158   12   30    0   29
