 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
   3   11   54406   2   2   1  10  122    7   32   16   23
   3   12   74093   5   0   2  20  117   14   44    0   34
   3   25   67883   2   0   2  10   54    8   20    0   20
   3   27   76004   2   0   2  10   41    4   16    0   18
   3   30   79412   2   6   3  20  150    8   27   22   32
   3   40   69206   4   0   2  15   76   11   15    0   39
   3   46   67419   3   2   1  20  119   10   30    8   32
   3   50   72190   1   0   0   0    0    0    0    0    0
   3   53   48943   1   0   0   0    0    0    0    0    0
   3   56   53181   2   0   2   5   91    5   22    0   27
   3   61   59000   2   0   2  10   22    7    2    0    9
   3   73   84098   2   2   2  15   94   11   33    9   28
   3   96   55277   4   0   1  15  116    8   48    0   21
   3   98   43809   1   0   3   0   27    4    2    0   16
   3  100   59976   3   2   2  10  109    8   39    9   31
   3  106   70145   6   2   2  20  140   17   48   24   42
   3  109   76008   6   0   2  10   75    9   25    0   30
   3  111   69744   6   1   2  20  143   11   36   15   41
   3  125   72104   4   1   3  20  150   13   41   10   30
   3  127   62218   2   0   0   0    0    0    0    0    0
