 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
  47   94   60166   2   1   3   5   27    3    0    9   15
  47  105   60886   2   1   1  10   91    6   20   12   20
  47  138   62778   2   0   1  15   62    6   33    0   15
  47  524   57187   1   0   1   0    2    1    0    0    1
  47  778   60202   2   3   1  10   91   10   34   13   24
  47  807   61717   2   0   3   5   52    6   24    0    6
  47  858   65403   2   0   1  15   37    6   10    0   16
  48   26   63477   2   2   4   5   61    4    0   13   15
  48  147   52949   2   1   3  10   83    4   26    6   23
  48  183   59987   3   1   0   0    0    0    0    0    0
  48  212   60721   4   0   0   0    0    0    0    0    0
  48  487   58817   4   0   1  10   60    7   17    0   15
  49   72   54224   2   0   2   5   22    5    5    0   11
  49  359   53811   3   0   3  10   61    8   18    0   13
  49  366   56287   2   2   1  10  105    7   19   18   24
  49  385   56966   3   3   3  15  118   12   42    9   31
  49  722   62614   3   0   1  10   66    3   33    0   20
  49  763   62887   5   0   4  10   68    8   20    0   20
  49  802   60788   3   1   5  10  104    8   16    9   17
  50  221   57729   5   2   3  10   65   10   12   15   25
