 ADDRESS    VALUE   1   2   3   4    5    6    7    8    9
  47  215   59219   1   0   2  15   28    4    0    0   16
  47  350   62801   1   0   1  10   21    7   12    0    2
  47  385   62292   2   0   3  10   44    4   12    0   12
  47  568   65252   3   1   1   5   64    5    7   10   14
  47  594   69252   2   0   3  15   52    5   25    0   15
  47  612   60291   2   0   2  10   53    7   12    0   11
  47  836   63853   4   3   4  15  109   10   31   19   37
  47  848   61692   5   0   1  15  112   10   20    0   23
  47  889   63467   2   0   2  10   30    5    6    0   10
  48   93   60149   4   0   4  10   54    9   19    0   18
  48  674   56179   3   1   1  10   78    9   33   14   22
  49  152   53067   2   0   0   0    0    0    0    0    0
  50  394   60727   2   1   1  10   68    9   11   14   16
  50  535   58111   3   0   1   5   53    6   21    0   16
  50  625   51385   1   0   1   0   16    1    7    0    5
  51   33  100451   2   0   2  20   17    4    0    0    9
  51   44  100914   4   0   3  25   59    7   18    0   27
  51   70   91432   3   0   1  15   24    4    3    0   13
  51  341   99529   3   0   3  15   16    1    6    0    5
  51  367   95688   6   0   1  20   89    9   17    0   26
  51  424  104502   3   1   3  20   56    7   12   13    5
  52  114   75131   3   0   2  10    8    1    4    0    3
  52  135   58348   2   1   1   5   30    5    1    7    9
  52  152   65985   2   3   3  15  126    9   12   10   27
  52  157   67085   3   0   2   5   48    5   19    0    4
  52  295   62882   1   0   2  10   35    3    6    0   11
  53  344   48096   2   1   0   0    0    0    0    0    0
  54  122   48106   3   0   2   0    4    0    0    0    4
  54  333   49966   2   0   2   0   12    2    9    0    1
  55   64   40693   1   0   1   0    3    0    0    0    3
  55   93   51706   4   0   1  10   62    7    7    0   25
  55  531   39608   1   0   1   5   22    3    2    0    9
  55  548   50665   1   0   1  10   49    5   23    0   12
  56   93   89683   1   0   1  10    0    0    0    0    0
  56  167   93229   3   0   1  20   54    4   18    0   11
  57  255   84949   2   0   1  10    4    1    0    0    3
  57  294   78113   3   0   2   5   19    2    6    0    9
  57  318   78308   1   0   1  15   12    4    0    0    6
  57  697   81933   1   0   2  10    0    0    0    0    0
  58  181   63534   1   0   1   5   29    1   18    0    3
  58  351   66298   2   0   1  10   70    0   23    0   15
  59   26   48773   5   0   2   5   63    7   21    0   24
  59  234   31396   1   0   2   0   11    0    5    0    3
  59  394   34953   1   0   2   0    3    0    3    0    0
  59  450   36568   2   1   0   0    0    0    0    0    0
  59  453   35886   2   0   0   0    0    0    0    0    0
  59  497   36072   2   2   2   0   71    5   27    7   13
  59  729   36882   1   0   3   0    0    0    0    0    0
  59  778   30424   1   0   0   0    0    0    0    0    0
  60    5   52550   2   0   1   5    9    2    0    0    7
  60   16   42292   4   1   1   5   62    8   18   11   20
  60  300   38673   1   0   2   0    0    0    0    0    0
  60  337   39347   1   0   0   0    0    0    0    0    0
  60  711   47147   1   0   2   5   49    2   12    0   17
  60  727   47378   2   0   2  10   21    7    0    0   14
  61   93  102438   2   1   3  20   78    5   24    6   14
  61  137  104793   2   2   4  20   39    5    0   14   10
  62  302   75319   2   0   2   5    3    3    0    0    0
  62  467   75372   1   0   2  15   41    0   24    0    8
  62  535   84263   2   2   1  15   37    5    7   11    6
  62  577   76698   2   0   2  10    9    1    0    0    6
  62  762   77183   2   0   1  15   23    4    0    0   12
  63  156   55493   4   0   2  10   43    7   12    0   18
  63  170   53337   1   0   0   0    0    0    0    0    0
  63  364   54016   2   1   2   5   38    5   15    7    8
  63  371   63528   2   0   1  10   52    6    2    0   19
  63  440   59318   1   0   0   0    0    0    0    0    0
  63  615   44277   1   0   3   0   15    1    6    0    4
  63  760   56132   1   0   2   0    0    0    0    0    0
  63  792   57254   2   0   1  10  122    2   46    0    5
  63  959   58763   2   0   1   0   10    0   10    0    0
  63 1127   55308   2   0   1   5   50    6   18    0   22
  63 1179   57381   2   0   3  10   15    3    0    0   11
  64  306   63125   3   0   1   5   35    3   13    0   11
  64  355   65263   1   0   3  10   10    0    0    0    8
  64  384   68641   2   0   3   5   27    0   15    0    0
  64  640   60701   2   0   0   0    0    0    0    0    0
  64  683   61231   4   0   2  15   57    6   27    0   22
  64  799   58269   3   0   2   5   33    2   15    0    4
  64  825   63520   2   1   1  10   46    5   13   10   12
  64  867   65711   5   0   3   5   32    4    7    0   21
  64  913   60420   1   0   2   0    1    1    0    0    0
  65  372   74936   2   1   1  15   91    2   29   12   19
  65  448   69112   3   2   0   0    0    0    0    0    0
  65  632   70054   2   0   2  10    5    1    0    0    4
  66  364   90102   3   0   2  10   26    0    5    0   12
  67  154   77735   3   0   2  10   76    4   25    0   16
  67  155   76436   1   0   2  10    2    1    1    0    0
  67  220   85416   2   0   1  10   29    0   11    0    5
  67  266   83998   3   2   3  15   73    5   19   11   16
  67  307   80553   2   1   1  15   60    7   13    3   21
  67  557   86387   2   0   3  15   36    7   10    0   13
  67  562   90516   2   3   2  20   94    7   41   18   21
  67  629   88300   2   0   2  15   45    1   20    0   13
  67  682   82522   2   0   3  10    7    0    5    0    1
  67  750   81265   2   3   2  15   72    9    6   17   13
  67  848   90244   4   1   2  20  142    8   29    8   19
  68  240   78025   2   1   2  10   52    5   19    9   10
  68  308   70790   3   0   2  15   67    5   30    0   20
  68  378   76238   2   2   1  15   49    6    0   10   13
  68  415   76971   2   1   3  10   35    4   14    8    8
  68  586   78152   2   2   3  10   73    3   16   15   14
  68  660   82327   4   0   1  20   74    9   13    0   25
  68  819   79885   2   0   3  15   61    6   17    0   18
  68  830   79440   3   1   2  15   90    7   43    8   23
  68  836   74796   1   0   2  15    7    2    0    0    4
  69  527   74210   5   0   2  15   39    7   13    0   14
  69  602   67967   2   0   1  10   16    1    7    0    6
  69  761   69795   3   0   2  15   40    6   14    0   19
  69  813   69257   6   0   2  15   57    9    0    0   24
  70    9   76323   3   0   1   5    4    2    0    0    1
  70  135   76068   3   2   2  10   64    6   17   14   18
  70  139   77490   4   0   1  15   68    8   17    0   22
  70  172   84465   5   0   2  15   21    6    0    0   13
  70  250   77425   3   1   1  15   39    6   10    6   14
  70  377   79322   5   1   3   5   77    1   25   14   16
  70  428   78566   4   3   1  10   87    6    6   11   22
  70  670   76227   3   0   2  10   38    5   14    0    9
  70  718   72673   2   1   4  15   62    4   22   13   17
  71   60   90994   2   3   1  15   63    3    8   15   23
  71  129   98959   6   0   4  15   64    8   22    0   17
  71  157   89046   3   1   2  15  120    4   24   18   11
  71  470   95858   3   2   2  15   81    3   27    8   10
  71  488   94933   4   0   1  20   63    6   15    0   17
  71  675   81628   3   0   2  15   23    8    4    0    9
  72   58   82925   2   1   2  15   90    3   37   11   10
  72   75   82674   2   1   1  15  105    6   21   11   12
  72  229   83537   2   0   2  15   13    5    1    0    3
  72  498   79229   3   2   2  15   77    6   19   11   20
  72  614   79900   3   4   5  20  124   11   38   17   32
  72  616   75268   2   0   1  15   24    3    7    0    9
  72  717   85353   2   2   3  20   65    4   20    8   18
  73  493   82177   4   0   2  10   24    3   10    0    8
  73  767   76449   2   1   1  10   58    3   10   16    4
  74  160   87741   4   1   2  15   61    8   11   15   23
  74  312   80477   2   1   2  15   62    1   28    6   19
  74  337   75694   1   0   2  10    4    0    0    0    4
  75  100   74325   2   0   0   0    0    0    0    0    0
  75  159   82783   4   1   2  15   82    5   41    8   16
  75  323   84502   4   2   5  15  115   10   35    9   14
  75  545   73034   4   0   2  10   56    3   25    0   19
  75  716   82657   3   3   3  25  151    8   45   14   20
  75  722   85383   2   0   1  15   40    3   19    0   15
